t,d,,
t,t',,
t,th,,
t,tth,,
t,ts,,
t,ch,,
t,ch',,
t',t,,
t',ts',,
t',tth',,
t',tl',,
t',ch,,
t',ch',,
d,t,,
d,t',,
d,dh,,
d,ddh,,
d,dz,,
d,nd,,
d,tth,,
d,tth',,
k,g,,
k,kw,,
k,gw,,
k,k',,
k,k'w,,
k,kh,,
k,khw,,
k,gh,,
k,ghw,,
g,gw,,
g,k,,
g,k',,
g,kw,,
g,gw,,
g,k'w,,
g,kh,,
g,khw,,
g,gh,,
g,ghw,,
k',k,,
k',k'w,,
kw,k,,
kw,gw,,
kw,k'w,,
kw,khw,,
kw,ghw,,
kw,kh,,
kw,gh,,
kw,w,,
gw,g,,
gw,kw,,
gw,k'w,,
gw,khw,,
gw,ghw,,
gw,kh,,
gw,gh,,
gw,w,,
k'w,k',,
k'w,kw,,
k'w,gw,,
k'w,khw,,
k'w,ghw,,
k'w,kh,,
k'w,gh,,
k'w,w,,
kh,k,,
kh,g,,
kh,k',,
kh,kw,,
kh,gw,,
kh,k'w,,
kh,gh,,
kh,khw,,
kh,ghw,,
kh,h,,
gh,g,,
gh,kw,,
gh,gw,,
gh,k'w,,
gh,kh,,
gh,khw,,
gh,h,,
gh,ghw,,
khw,k,,
khw,kw,,
khw,gw,,
khw,k'w,,
khw,ghw,,
khw,kh,,
khw,h,,
khw,gh,,
khw,w,,
ghw,g,,
ghw,kw,,
ghw,gw,,
ghw,k'w,,
ghw,khw,,
ghw,kh,,
ghw,h,,
ghw,gh,,
ghw,w,,
n,nd,,
n,m,,
n,nj,,
n,mb,,
m,mb,,
m,n,,
mb,m,,
mb,n,,
mb,b,,
nd,n,,
nd,nj,,
nd,d,,
nd,m,,
nj,n,,
nj,nd,,
nj,m,,
nj,y,,
th,s,,
th,dh,,
th,tth,,
th,ddh,,
th,tth',,
th,ts,,
dh,z,,
dh,d,,
dh,dz,,
dh,th,,
dh,tth,,
dh,ddh,,
dh,tthʼ,,
tth,t,,
tth,th,,
tth,ts,,
tth,ts',,
tth,tth',,
tth,dh,,
tth,ddh,,
ddh,dh,,
ddh,d,,
ddh,th,,
ddh,tth,,
tthʼ,tth,,
tthʼ,th,,
tthʼ,dh,,
tthʼ,ddh,,
tthʼ,ts,,
tthʼ,tsʼ,,
tthʼ,tʼ,,
s,sh,,
s,z,,
s,ts,,
s,zh,,
s,tsʼ,,
s,th,,
z,s,,
z,sh,,
z,zh,,
z,dz,,
z,ch,,
z,chʼ,,
z,j,,
ts,s,,
ts,tsʼ,,
ts,th,,
ts,tth,,
ts,tthʼ,,
dz,z,,
dz,d,,
dz,dh,,
dz,ddh,,
tsʼ,ts,,
tsʼ,s,,
tsʼ,th,,
tsʼ,tth,,
tsʼ,tthʼ,,
ł,l,,
ł,tl,,
ł,tlʼ,,
ł,dl,,
tl,tlʼ,,
tl,dl,,
tl,l,,
tl,ł,,
dl,tl,,
dl,tlʼ,,
dl,l,,
dl,ł,,
tlʼ,tl,,
tlʼ,dl,,
tlʼ,l,,
tlʼ,ł,,
l,ł,,
l,tl,,
l,tlʼ,,
l,dl,,
l,y,,
sh,s,,
sh,z,,
sh,zh,,
sh,ch,,
sh,chʼ,,
zh,z,,
zh,sh,,
zh,s,,
zh,ch,,
zh,j,,
ch,zh,,
ch,sh,,
ch,j,,
ch,chʼ,,
ch,z,,
ch,t,,
ch,tʼ,,
j,ch,,
j,chʼ,,
j,y,,
j,w,,
j,z,,
j,zh,,
chʼ,ch,,
chʼ,zh,,
chʼ,sh,,
chʼ,j,,
chʼ,z,,
chʼ,t,,
chʼ,tʼ,,
y,w,,
y,j,,
y,l,,
y,nj,,
w,y,,
w,kw,,
w,gw,,
w,kʼw,,
w,khw,,
w,ghw,,
u0027,,,
u2019,,,
u02bc,,,
,u0027,,
,u2019,,
,u02bc,,
u02bc,u0027,,
u02bc,u2019,,
u0027,u2019,,
u2019,u0027,,
u0027,u02bc,,
u2019,u02bc,,
h,khw,,
h,kh,,
h,gh,,
h,ghw,,
i,e,,
i,í,,
i,í,,
i,ì,,
i,ì,,
i,ī,,
i,ī,,
i,iʼ,,
i,į,,
i,į́,,
i,į̀,,
i,į̄,,
i,ǐ,,
i,į̌,,
í,i,,
í,ì,,
í,ī,,
í,iʼ,,
í,į,,
í,į́,,
í,į̀,,
í,į̄,,
í,ǐ,,
í,į̌,,
ì,i,,
ì,í,,
ì,ī,,
ì,iʼ,,
ì,į,,
ì,į́,,
ì,į̀,,
ì,į̄,,
ì,ǐ,,
ì,į̌,,
ī,i,,
ī,í,,
ī,ì,,
ī,iʼ,,
ī,į,,
ī,į́,,
ī,į̀,,
ī,į̄,,
ī,ǐ,,
ī,į̌,,
iʼ,i,,
iʼ,í,,
iʼ,ì,,
iʼ,ī,,
iʼ,į,,
iʼ,į́,,
iʼ,į̀,,
iʼ,į̄,,
iʼ,ǐ,,
iʼ,į̌,,
į,i,,
į,í,,
į,ì,,
į,ī,,
į,iʼ,,
į,į́,,
į,į̀,,
į,į̄,,
į,ǐ,,
į,į̌,,
į́,i,,
į́,í,,
į́,ì,,
į́,ī,,
į́,iʼ,,
į́,į,,
į́,į̀,,
į́,į̄,,
į́,ǐ,,
į́,į̌,,
į̀,i,,
į̀,í,,
į̀,ì,,
į̀,ī,,
į̀,iʼ,,
į̀,į,,
į̀,į́,,
į̀,į̄,,
į̀,ǐ,,
į̀,į̌,,
į̄,i,,
į̄,í,,
į̄,ì,,
į̄,ī,,
į̄,iʼ,,
į̄,į,,
į̄,į́,,
į̄,į̀,,
į̄,ǐ,,
į̄,į̌,,
ǐ,i,,
ǐ,í,,
ǐ,ì,,
ǐ,ī,,
ǐ,iʼ,,
ǐ,į,,
ǐ,į́,,
ǐ,į̀,,
ǐ,į̄,,
ǐ,į̌,,
į̌,i,,
į̌,í,,
į̌,ì,,
į̌,ī,,
į̌,iʼ,,
į̌,į,,
į̌,į́,,
į̌,į̀,,
į̌,į̄,,
į̌,ǐ,,
e,i,,
e,ae,,
e,ay,,
e,è,,
e,ē,,
e,eʼ,,
e,ę,,
e,ę́,,
e,ę̀,,
e,ę̄,,
e,ě,,
e,ę̌,,
é,e,,
é,è,,
é,ē,,
é,eʼ,,
é,ę,,
é,ę́,,
é,ę̀,,
é,ę̄,,
é,ě,,
é,ę̌,,
è,e,,
è,é,,
è,ē,,
è,eʼ,,
è,ę,,
è,ę́,,
è,ę̀,,
è,ę̄,,
è,ě,,
è,ę̌,,
ē,e,,
ē,é,,
ē,è,,
ē,eʼ,,
ē,ę,,
ē,ę́,,
ē,ę̀,,
ē,ę̄,,
ē,ě,,
ē,ę̌,,
eʼ,e,,
eʼ,é,,
eʼ,è,,
eʼ,ē,,
eʼ,ę,,
eʼ,ę́,,
eʼ,ę̀,,
eʼ,ę̄,,
eʼ,ě,,
eʼ,ę̌,,
ę,e,,
ę,é,,
ę,è,,
ę,ē,,
ę,eʼ,,
ę,ę́,,
ę,ę̀,,
ę,ę̄,,
ę,ě,,
ę,ę̌,,
ę́,e,,
ę́,é,,
ę́,è,,
ę́,ē,,
ę́,eʼ,,
ę́,ę,,
ę́,ę̀,,
ę́,ę̄,,
ę́,ě,,
ę́,ę̌,,
ę̀,e,,
ę̀,é,,
ę̀,è,,
ę̀,ē,,
ę̀,eʼ,,
ę̀,ę,,
ę̀,ę́,,
ę̀,ę̄,,
ę̀,ě,,
ę̀,ę̌,,
ę̄,e,,
ę̄,é,,
ę̄,è,,
ę̄,ē,,
ę̄,eʼ,,
ę̄,ę,,
ę̄,ę́,,
ę̄,ę̀,,
ę̄,ě,,
ę̄,ę̌,,
ě,e,,
ě,é,,
ě,è,,
ě,ē,,
ě,eʼ,,
ě,ę,,
ě,ę́,,
ě,ę̀,,
ě,ę̄,,
ě,ę̌,,
ę̌,e,,
ę̌,é,,
ę̌,è,,
ę̌,ē,,
ę̌,eʼ,,
ę̌,ę,,
ę̌,ę́,,
ę̌,ę̀,,
ę̌,ę̄,,
ę̌,ě,,
ä,a,,
ä,ä́,,
ä,ä̀,,
ä,ǟ,,
ä,aʼ,,
ä,ą̈,,
ä,ą̈́,,
ä,ą̈̀,,
ä,ą̈̄,,
ä,ä̌,,
ä,ą̈̌,,
ä́,ä̀,,
ä́,ǟ,,
ä́,aʼ,,
ä́,ą̈,,
ä́,ą̈́,,
ä́,ą̈̀,,
ä́,ą̈̄,,
ä́,ä̌,,
ä́,ą̈̌,,
ä̀,ä́,,
ä̀,ǟ,,
ä̀,aʼ,,
ä̀,ą̈,,
ä̀,ą̈́,,
ä̀,ą̈̀,,
ä̀,ą̈̄,,
ä̀,ä̌,,
ä̀,ą̈̌,,
ǟ,ä́,,
ǟ,ä̀,,
ǟ,aʼ,,
ǟ,ą̈,,
ǟ,ą̈́,,
ǟ,ą̈̀,,
ǟ,ą̈̄,,
ǟ,ä̌,,
ǟ,ą̈̌,,
aʼ,ä́,,
aʼ,ä̀,,
aʼ,ǟ,,
aʼ,ą̈,,
aʼ,ą̈́,,
aʼ,ą̈̀,,
aʼ,ą̈̄,,
aʼ,ä̌,,
aʼ,ą̈̌,,
aʼ,a,,
ą̈,ä́,,
ą̈,ä̀,,
ą̈,ǟ,,
ą̈,aʼ,,
ą̈,ą̈́,,
ą̈,ą̈̀,,
ą̈,ą̈̄,,
ą̈,ä̌,,
ą̈,ą̈̌,,
ą̈́,ä́,,
ą̈́,ä̀,,
ą̈́,ǟ,,
ą̈́,aʼ,,
ą̈́,ą̈,,
