Stellarʼs jay,tetʼoka,Noun,birds,Noun Dictionary (Ritter),,,,,,
swallow (barn),tthaw ninzyaana,Noun,birds,Noun Dictionary (Ritter),,,,,,
swallow (cliff),tetlok zyawa,Noun,birds,Noun Dictionary (Ritter),,,,,,
swan,degay,Noun,birds,Noun Dictionary (Ritter),,,,,,
swan,tagok,Noun,birds,Noun Dictionary (Ritter),,,,,,
warbler,chuan detthoa,Noun,birds,Noun Dictionary (Ritter),,,,,,
winter birds ,tsʼágaan,Noun,birds,Noun Dictionary (Ritter),,,,,,
winter birds ,hukʼa dlína,Noun,birds,Noun Dictionary (Ritter),,,,,,
woodcock (?),yadhok,Noun,birds,Noun Dictionary (Ritter),,,,,,
woodpecker,tso esháwa,Noun,birds,Noun Dictionary (Ritter),,,,,,
woodpecker (3-toe),etsána,Noun,birds,Noun Dictionary (Ritter),,,,,,
unidentified bird,inlyát,Noun,birds,Noun Dictionary (Ritter),,,,,,
unidentified bird,dzak damba,Noun,birds,Noun Dictionary (Ritter),,,,,,
man's body,dan nezhan,Noun,body parts,Noun Dictionary (Ritter),,,,,,
man's body,dan ,Noun,body parts,Noun Dictionary (Ritter),,,,,,
left side,tl'o ts'an,Noun,body parts,Noun Dictionary (Ritter),,,,,,
right side,sók ts'an,Noun,body parts,Noun Dictionary (Ritter),,,,,,
man's mind,dan yí,Noun,non-material,Noun Dictionary (Ritter),,,,,,
strong mind,strong mind,Noun,non-material,Noun Dictionary (Ritter),,,,,,
weak mind,weak mind,Noun,non-material,Noun Dictionary (Ritter),,,,,,
