Sem. Cat.,EN,NT,Audio,Speaker,Source,Ques. / Notes,Sub Sem. Cat.,original spelling,Entry #,Page #,CR,see,Literal Meaning,Speaker 1,Speaker 2
birds,goose (any?),khe,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,goose,,35,37,,,,Tommy McGinty,Johnson Edwards
birds,goose (snow),khe gay,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,goose,,36,37,,,,Tommy McGinty,Johnson Edwards
birds,goose (white-fronted),tádhák,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,goose,tádhák,37,37,,,,Tommy McGinty,Johnson Edwards
birds,grouse (blue),di cho ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,grouse,di cho ,38,37,,,,Tommy McGinty,Johnson Edwards
birds,grouse (any),ji,,,,,grouse,,NEW,,,,,,
birds,grouse (ruffer),intráʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,grouse,,39,37,CR3,,,Tommy McGinty,Johnson Edwards
birds,grouse (ruffer),inták,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,grouse,,41,37,CR3,,,Tommy McGinty,Johnson Edwards
birds,grouse (spruce),di,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,grouse,,42,37,CR4,,,Tommy McGinty,Johnson Edwards
birds,grouse (spruce),dan dí,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,grouse,,43,37,CR4,,,Tommy McGinty,Johnson Edwards
birds,grouse (willow) ,intthʼúnʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,grouse,,44,37,,,,Tommy McGinty,Johnson Edwards
birds,gull (any?),méhkʼę́ʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,gull,méhkʼénʼ,45,37,CR5,,,Tommy McGinty,Johnson Edwards
birds,gull (any?),mékʼę́ʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,gull,mékʼénʼ,46,37,CR5,,,Tommy McGinty,Johnson Edwards
birds,gull (Bonaparteʼs),méhkʼę́ʼ utthíʼ denétʼro,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,gull,méhkʼénʼ utthíʼ denétʼro,47,37,,,,Tommy McGinty,Johnson Edwards
birds,hawk,únzi,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,48,37,,,,Tommy McGinty,Johnson Edwards
birds,kingfisher,téchʼáwʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,49,37,,,,Tommy McGinty,Johnson Edwards
birds,loon (Arctic) ,tthʼémbíʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,loon,,50,37,,,,Tommy McGinty,Johnson Edwards
birds,loon (common),tútse,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,loon,tútsay,51,37,,,,Tommy McGinty,Johnson Edwards
birds,loon (red-neck),tuchʼaat,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,loon,,52,38,,,,Tommy McGinty,Johnson Edwards
birds,magpie,tsʼónkʼe ząy,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,tsʼónkʼe zayn,53,38,,,,Tommy McGinty,Johnson Edwards
birds,osprey,tʼo tsʼyáʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,54,38,,,,Tommy McGinty,Johnson Edwards
birds,owl (great grey),etthédzaat,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,owl,,55,38,CR6,,,Tommy McGinty,Johnson Edwards
