a,
ae,
ä,
e,
i,
o,
u,
ay,
aw,
p,
b,
d,
dl,
dh,
ddh,
dz,
l,
ł,
n,
nd,
nj,
m,
mb,
j,
h,
k,
k’,
kw,
k’w,
khw,
kh,
g,
gh,
ghw,
ch,
ch’,
s,
sh,
z,
zh,
t,
t’,
tth,
tth’,
tl,
tl’,
tł,
tł’,
ts,
ts’,
r,
w,
ym
’
